reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_ADev,std_ADev
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,3,0.005,4.035526397667369,0.9006866998119918,"{'200': 0.2208875551119672, '400': 1.3772564254442718, '600': 1.838003579682268, '800': 2.000534311430141, '1000': 2.082089137884738}","{'200': 0.38676870403826114, '400': 0.4249718739441491, '600': 0.3071246912200647, '800': 0.27809345520776807, '1000': 0.23752686418835314}",54.62222222222222,11.243346454956052
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,3,0.01,4.145700100452481,1.0345796330002437,"{'200': 0.1827680475435627, '400': 1.3584985146820296, '600': 1.7810050524077798, '800': 1.98678038936723, '1000': 2.093892345744976}","{'200': 0.3288497621573027, '400': 0.377188724647818, '600': 0.3020685008674723, '800': 0.2945314464022428, '1000': 0.24647032444148767}",54.08888888888889,12.86480508505835
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,5,0.005,4.057266359086506,1.0354375540178127,"{'200': 0.22375642050902167, '400': 1.4577930323531274, '600': 1.8642069213521073, '800': 2.0368347079198887, '1000': 2.1324878033889005}","{'200': 0.40217559972575234, '400': 0.468925268439331, '600': 0.3096898357408528, '800': 0.30203742903696307, '1000': 0.2508445167904261}",52.77777777777778,11.735774156898572
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,5,0.01,3.9935203705185303,0.8157080585073101,"{'200': 0.19957804456625577, '400': 1.453716034781256, '600': 1.8719014330123784, '800': 2.0770660517440205, '1000': 2.147814106916095}","{'200': 0.37861136089293446, '400': 0.37421300189663803, '600': 0.3147482170192017, '800': 0.30506668285858907, '1000': 0.26073956617072874}",49.82222222222222,11.339780301396964
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,7,0.005,4.087112746797521,0.9325634571910272,"{'200': 0.20671171589397264, '400': 1.4030981601895132, '600': 1.8308519816452935, '800': 2.031000263532664, '1000': 2.1186528061271237}","{'200': 0.3733340903062731, '400': 0.4109810745425621, '600': 0.29085610153031305, '800': 0.29166493313448183, '1000': 0.23400180446329513}",54.644444444444446,11.815536956915961
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,7,0.01,4.221237254535918,0.9413851785811964,"{'200': 0.128088982789884, '400': 1.3000867859609175, '600': 1.743145565825763, '800': 1.9613435655003046, '1000': 2.06048741982819}","{'200': 0.22258073953904847, '400': 0.3680897188653051, '600': 0.2704615672444917, '800': 0.28876181106561283, '1000': 0.23749712919255914}",51.46666666666667,11.706788154267118
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,3,0.005,4.40657963748211,1.0635292381368735,"{'200': 0.1440170637117326, '400': 1.2654386411935994, '600': 1.792289689160736, '800': 2.0167483458423687, '1000': 2.1138555511925485}","{'200': 0.3123862300866735, '400': 0.5170923237903314, '600': 0.31673381066776735, '800': 0.30434397778378763, '1000': 0.25072065927519543}",56.4,13.521012453872594
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,3,0.01,4.1246970868780615,1.0491911738684185,"{'200': 0.16118710090921212, '400': 1.3939797315302762, '600': 1.8813449244097014, '800': 2.076120632273774, '1000': 2.160626641550575}","{'200': 0.3022897993120987, '400': 0.43812125531142915, '600': 0.295272971692574, '800': 0.2922389908692755, '1000': 0.24547480885975015}",55.77777777777778,12.541289830686633
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,5,0.005,4.090060538176386,0.8735490164635129,"{'200': 0.1487516400980331, '400': 1.370460781997712, '600': 1.8129352467549442, '800': 2.006988931003397, '1000': 2.1053514076025293}","{'200': 0.2363443412230813, '400': 0.38430129307049077, '600': 0.3008203562816284, '800': 0.2981030118121933, '1000': 0.251227429401614}",53.77777777777778,10.411294911219981
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,5,0.01,4.098166964468268,0.9386583704045671,"{'200': 0.20421498390464288, '400': 1.3751839526327936, '600': 1.8475292556514646, '800': 2.0353379810905903, '1000': 2.114973354392393}","{'200': 0.3642296088772687, '400': 0.3733528141852104, '600': 0.2968872615484568, '800': 0.2967726635818226, '1000': 0.2511015712022666}",53.44444444444444,12.362228413923788
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,7,0.005,4.310039469824252,1.0821136232055204,"{'200': 0.13689228111795781, '400': 1.3220293728352608, '600': 1.7673089897294065, '800': 1.9689954472151268, '1000': 2.0707841713422823}","{'200': 0.28733433120641705, '400': 0.47886413209163065, '600': 0.3328329874831982, '800': 0.3267206883169707, '1000': 0.2620508968799958}",52.8,10.406408282079523
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,7,0.01,4.179599701309439,1.0591844267600963,"{'200': 0.22229321104055833, '400': 1.4092688646089384, '600': 1.8809256171096025, '800': 2.0454946140472825, '1000': 2.141875359042582}","{'200': 0.4447698032862557, '400': 0.4524027311527725, '600': 0.3035144544247719, '800': 0.31654723919587646, '1000': 0.2575217520582342}",55.24444444444445,10.625243642812894
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,3,0.005,4.137593674160599,1.081182735676256,"{'200': 0.17623474702420233, '400': 1.3538824521964257, '600': 1.794226505547595, '800': 2.011392304359206, '1000': 2.113877900206309}","{'200': 0.33244014757100365, '400': 0.46316924519614183, '600': 0.35280753122750735, '800': 0.3262828465733338, '1000': 0.2724118046444055}",56.111111111111114,11.685170511231028
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,3,0.01,3.9806237832359916,0.8713388473945337,"{'200': 0.19490895757791776, '400': 1.4304151438761317, '600': 1.8443264817381806, '800': 2.0438141524410915, '1000': 2.115092563713698}","{'200': 0.33274157405707366, '400': 0.3916448147040174, '600': 0.3171069318779438, '800': 0.3141214327358862, '1000': 0.2521024845865674}",55.48888888888889,12.6572284524996
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,5,0.005,4.279824608190877,1.108778381311867,"{'200': 0.13839292123767424, '400': 1.2901787991782723, '600': 1.8113291267800227, '800': 2.026595122076631, '1000': 2.1161785772334007}","{'200': 0.2389122641432726, '400': 0.45066037305678897, '600': 0.300058221292096, '800': 0.2814029336925007, '1000': 0.2294910891462618}",56.13333333333333,11.142710621747295
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,5,0.01,4.148647891831346,0.936087965897462,"{'200': 0.13842598025529443, '400': 1.3610366592917564, '600': 1.8087594930060795, '800': 2.0148679094218527, '1000': 2.09867390028552}","{'200': 0.25232067613587333, '400': 0.40993674868678587, '600': 0.2887849596238366, '800': 0.2812526960648823, '1000': 0.23911586511433444}",55.022222222222226,12.87631570647596
