r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs
0.1,0.02,0.2,0.1,1e-08,0.1,5.578332488821328,3.2851083466640962,"{'200': 0.002415008249736785, '400': 0.0055530774472554115, '600': 0.01020184603665766, '800': 0.015293370389302651, '1000': 0.02057733900919507}","{'200': 0.002017096709682303, '400': 0.00522406771342654, '600': 0.008479841996645324, '800': 0.011312655858935147, '1000': 0.013765444384627673}"
0.1,0.02,0.2,0.1,1e-08,0.3,5.406688090602804,3.5722213038585062,"{'200': 0.0024742328999543192, '400': 0.005442523501036555, '600': 0.011519012236217189, '800': 0.016994405462192837, '1000': 0.02316314108662119}","{'200': 0.0022657168103659554, '400': 0.005020535249317777, '600': 0.011265713412530182, '800': 0.015363766715842346, '1000': 0.020146332129640062}"
0.1,0.02,0.2,0.1,1e-08,0.5,5.285599736867837,3.274210068394759,"{'200': 0.002577308517406986, '400': 0.00523227094055956, '600': 0.01160631784425851, '800': 0.01799493475685075, '1000': 0.024430265492611125}","{'200': 0.00234467457519952, '400': 0.0044175393882069595, '600': 0.01277326482863397, '800': 0.019530804763487102, '1000': 0.027166370943881444}"
0.1,0.02,0.2,0.1,1e-08,0.7,6.159790116542656,4.428804213136792,"{'200': 0.002879111057707542, '400': 0.005997396837759171, '600': 0.01190883557555733, '800': 0.01767519726926339, '1000': 0.023547766888683607}","{'200': 0.0041875280707748055, '400': 0.00820669573206108, '600': 0.014422281695277884, '800': 0.019987835441322824, '1000': 0.02565354018183837}"
0.1,0.02,0.2,0.1,1e-08,0.9,5.137213643758167,3.2619623276470304,"{'200': 0.0026877266942849642, '400': 0.00578917572252485, '600': 0.011744984731300298, '800': 0.01760946398824373, '1000': 0.023707850633935053}","{'200': 0.0028894917130637275, '400': 0.005683798934849563, '600': 0.0118907045900945, '800': 0.016759427081717074, '1000': 0.022243019744389293}"
0.1,0.02,0.2,0.3,1e-08,0.1,5.986378465832821,2.8683816001287283,"{'200': 0.0008549400732617578, '400': 0.0016722189272086819, '600': 0.0035495304015342264, '800': 0.0053423522399831825, '1000': 0.007268638522317724}","{'200': 0.0007756366557232116, '400': 0.0013331289352382948, '600': 0.00271554735309761, '800': 0.0037733996433897367, '1000': 0.004847139998513889}"
0.1,0.02,0.2,0.3,1e-08,0.3,6.703251815700809,3.6404688234349254,"{'200': 0.0008066103322405972, '400': 0.001528197006482685, '600': 0.0031612194762546883, '800': 0.004754455466391635, '1000': 0.0064308849683970045}","{'200': 0.0007191469344761938, '400': 0.0011549118905050209, '600': 0.002195122699163137, '800': 0.0031093862726338304, '1000': 0.004048331028928368}"
0.1,0.02,0.2,0.3,1e-08,0.5,6.579828164030899,3.286991956249773,"{'200': 0.0008515540997686641, '400': 0.001598993386772287, '600': 0.0029514311777161222, '800': 0.004383514040008897, '1000': 0.0058939145699810624}","{'200': 0.0007356206995475005, '400': 0.0011618088752771425, '600': 0.0020588423504092485, '800': 0.0029255929482307624, '1000': 0.0037595234888745236}"
0.1,0.02,0.2,0.3,1e-08,0.7,6.792466508431783,3.665963543275397,"{'200': 0.0007861969224182667, '400': 0.001546310246152437, '600': 0.002978032098758887, '800': 0.00446264184949073, '1000': 0.006049278006045618}","{'200': 0.0006592694918824669, '400': 0.0008738867020420874, '600': 0.001624553902299124, '800': 0.0024343925034119693, '1000': 0.003306553177540969}"
0.1,0.02,0.2,0.3,1e-08,0.9,5.911996070796775,2.603261864307086,"{'200': 0.0008345713969155031, '400': 0.0017824250178819945, '600': 0.0034015243596859043, '800': 0.005062560493829333, '1000': 0.0067841046451288895}","{'200': 0.0007681987570555893, '400': 0.0012698599298190693, '600': 0.0021980189905275397, '800': 0.0031055836811171456, '1000': 0.004014209649880088}"
0.1,0.02,0.2,0.5,1e-08,0.1,6.83642691415313,3.0753564767864465,"{'200': 0.0005936686988962323, '400': 0.0011945497074487962, '600': 0.0022445463427860665, '800': 0.0032749909117377636, '1000': 0.004432520788901763}","{'200': 0.00045728810698320087, '400': 0.0007996634416510031, '600': 0.0015906289300126417, '800': 0.0021100318847936356, '1000': 0.0024893490123424566}"
0.1,0.02,0.2,0.5,1e-08,0.3,6.936213563751766,3.35270870074121,"{'200': 0.0005614494966121277, '400': 0.0010765343166279355, '600': 0.002122859678973014, '800': 0.0031583679403618965, '1000': 0.0042576782407966396}","{'200': 0.00046502263421012153, '400': 0.0006430655275374863, '600': 0.0013793887453222176, '800': 0.0019522552243684446, '1000': 0.0025072435749342544}"
0.1,0.02,0.2,0.5,1e-08,0.5,6.540159657217022,3.106460919213335,"{'200': 0.0005942656777632583, '400': 0.0011679570744360939, '600': 0.002386454825698482, '800': 0.003655186204583174, '1000': 0.00499292466539435}","{'200': 0.0005204294580921485, '400': 0.0009142221382408155, '600': 0.0015947928382332608, '800': 0.0023284258885111534, '1000': 0.0030247447123377745}"
0.1,0.02,0.2,0.5,1e-08,0.7,6.4022824048146045,3.0852765197092236,"{'200': 0.0006489715159265943, '400': 0.0012526270816329921, '600': 0.002492890816200938, '800': 0.0037871123627483986, '1000': 0.005125479895088373}","{'200': 0.0005493945592404364, '400': 0.0007517290371621109, '600': 0.00159344670542097, '800': 0.0022458609790344886, '1000': 0.0030098646177667506}"
